ID,Errors (true/false),Error message,AndroidApplication,AndroidCreatePackagePerAbi,AndroidEnableMultiDex,AndroidLinkMode,AndroidManifest,AndroidResgenFile,AndroidUseLatestPlatformSdk,AndroidUseSharedRuntime,AppDesignerFolder,AssemblyName,Authors,AutoGenerateBindingRedirects,BundleAssemblies,Company,Configuration,CopyBuildOutputToOutputDirectory,CopyOutputSymbolsToOutputDirectory,Debugger,DebugSymbols,DebugType,DefineConstants,Description,DocumentationFile,EmbedAssembliesIntoApk,ErrorReport,FileAlignment,GeneratePkgDefFile,GenerateSerializationAssemblies,IISExpressAnonymousAuthentication,IISExpressSSLPort,IISExpressUseClassicPipelineMode,IISExpressWindowsAuthentication,IncludeAssemblyInVSIXContainer,IncludeDebugSymbolsInLocalVSIXDeployment,IncludeDebugSymbolsInVSIXContainer,IsCodedUITest,MinimumVisualStudioVersion,MvcBuildViews,NuGetPackageImportStamp,Optimize,OutputPath,OutputType,Platform,PlatformTarget,ProductVersion,ProjectGuid,ProjectTypeGuids,ReferencePath,RootNamespace,RuntimeFrameworkVersion,RuntimeIdentifiers,SchemaVersion,SignAssembly,StartAction,StartArguments,StartProgram,TargetFramework,TargetFrameworkProfile,TargetFrameworkVersion,TestProjectType,UseGlobalApplicationHostFile,UseIISExpress,VisualStudioVersion,VSToolsPath,WarningLevel,WebProject_DirectoryAccessLevelKey
C:\Users\tzuther\Source\Repos\CsprojScan\CsprojScan.Console\CsprojScan.Console.csproj,False,,,,,,,,,,,,Torsten Zuther,,,CsprojScan.Console,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exe,,,,,,,,,,,,,,,net471,,,,,,,,,
C:\Users\tzuther\Source\Repos\CsprojScan\CsprojScan.Contracts\CsprojScan.Contracts.csproj,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,net471,,,,,,,,,
C:\Users\tzuther\Source\Repos\CsprojScan\CsprojScan.DependencyInjection\CsprojScan.DependencyInjection.csproj,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,net471,,,,,,,,,
C:\Users\tzuther\Source\Repos\CsprojScan\CsprojScan.Implementation\CsprojScan.Implementation.csproj,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,net471,,,,,,,,,
C:\Users\tzuther\Source\Repos\Cube\Cube\Cube.csproj,False,,,,,,,,,,Properties,Cube,,true,,,Debug,,,,true,pdbonly,TRACE,,,,prompt,512,,,,,,,,,,,,,,true,bin\Release\,Exe,AnyCPU,AnyCPU,,{F803D4C8-DD89-4340-8D12-F4276DF6D4F5},,,Cube,,,,,,,,,,v4.5.2,,,,,,4,
C:\Users\tzuther\Source\Repos\Cube\Cube.Contracts\Cube.Contracts.csproj,False,,,,,,,,,,Properties,Cube.Contracts,,,,,Debug,,,,true,pdbonly,TRACE,,,,prompt,512,,,,,,,,,,,,,,true,bin\Release\,Library,AnyCPU,,,{11F4A781-D344-4AF7-89F4-D413DDDE3F85},,,Cube.Contracts,,,,,,,,,,v4.5.2,,,,,,4,
C:\Users\tzuther\Source\Repos\Cube\Cube.Model\Cube.Model.csproj,False,,,,,,,,,,Properties,Cube.Model,,,,,Debug,,,,true,pdbonly,TRACE,,,,prompt,512,,,,,,,,,,,,,,true,bin\Release\,Library,AnyCPU,,,{11106188-E78A-4055-9C3C-9AA09E27ABE5},,,Cube.Model,,,,,,,,,,v4.5.2,,,,,,4,
C:\Users\tzuther\Source\Repos\hamsterss\hamsterss.app\hamsterss.app.csproj,False,,true,False,False,SdkOnly,Properties\AndroidManifest.xml,Resources\Resource.Designer.cs,True,False,Properties,hamsterss.app,,,False,,Debug,,,Xamarin,True,pdbonly,TRACE,,,False,prompt,512,,Off,,,,,,,,,,,,true,bin\Release\,Library,AnyCPU,,8.0.30703,{AFDA4A24-9C32-4A76-B3C0-E6A56DC9236E},{EFBA0AD7-5A72-4C68-AF49-83D382785DCF};{FAE04EC0-301F-11D3-BF4B-00C04F79EFBC},,hamsterss.app,,,2.0,,,,,,,v6.0,,,,,,4,
C:\Users\tzuther\Source\Repos\hamsterss\hamsterss.appservice\hamsterss.appservice.csproj,False,,,,,,,,,,Properties,hamsterss.appservice,,,,,Debug,,,,true,pdbonly,TRACE,,bin\hamsterss.appservice.XML,,prompt,,,,enabled,44338,,disabled,,,,,,false,,true,bin\,Library,AnyCPU,,,{7E1537B1-EEDF-4CCD-B0D1-77EAC12FB500},{349c5851-65df-11da-9384-00065b846f21};{fae04ec0-301f-11d3-bf4b-00c04f79efbc},,hamsterss.appservice,,,2.0,false,,,,,,v4.6.1,,,true,10.0,$(MSBuildExtensionsPath32)\Microsoft\VisualStudio\v$(VisualStudioVersion),4,0
C:\Users\tzuther\Source\Repos\hamsterss\hamsterss.appservice.test\hamsterss.appservice.test.csproj,False,,,,,,,,,,Properties,hamsterss.appservice.test,,,,,Debug,,,,true,pdbonly,TRACE,,,,prompt,512,,,,,,,,,,False,,,,true,bin\Release\,Library,AnyCPU,,,{515BA67F-012A-482D-8F53-BC7C551C3CD4},{3AC096D0-A1C2-E12C-1390-A8335801FDAB};{FAE04EC0-301F-11D3-BF4B-00C04F79EFBC},$(ProgramFiles)\Common Files\microsoft shared\VSTT\$(VisualStudioVersion)\UITestExtensionPackages,hamsterss.appservice.test,,,,,,,,,,v4.6.1,UnitTest,,,10.0,$(MSBuildExtensionsPath32)\Microsoft\VisualStudio\v$(VisualStudioVersion),4,
C:\Users\tzuther\Source\Repos\JSDropbox\JSDropbox\JSDropbox.csproj,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,win10-x64,,,,,,netcoreapp2.0,,,,,,,,0,
C:\Users\tzuther\Source\Repos\Racoon\Racoon.Console\Racoon.Console.csproj,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exe,,,,,,,,2.0.5,,,,,,,netcoreapp2.0,,,,,,,,,
C:\Users\tzuther\Source\Repos\Racoon\Racoon.Contracts\Racoon.Contracts.csproj,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Library,,,,,,,,2.0.5,,,,,,,netcoreapp2.0,,,,,,,,,
C:\Users\tzuther\Source\Repos\Racoon\Racoon.DependencyInjection\Racoon.DependencyInjection.csproj,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.5,,,,,,,netcoreapp2.0,,,,,,,,,
C:\Users\tzuther\Source\Repos\Racoon\Racoon.Implementation\Racoon.Implementation.csproj,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Library,,,,,,,,2.0.5,,,,,,,netcoreapp2.0,,,,,,,,,
C:\Users\tzuther\Source\Repos\Racoon\Racoon.Implementation.Tests\Racoon.Implementation.Tests.csproj,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.5,,,,,,,netcoreapp2.0,,,,,,,,,
C:\Users\tzuther\Source\Repos\VsTemplate\VsTemplate\VsTemplate.csproj,False,,,,,,,,,,Properties,VsTemplate,,,,,Debug,false,false,,true,pdbonly,TRACE,,,,prompt,,false,,,,,,false,false,false,,15.0,,,true,bin\Release\,Library,AnyCPU,,,{6BB209CD-7086-4CC7-94B1-98DE01957237},{82b43b9b-a64c-4715-b499-d71e9ca2bd60};{FAE04EC0-301F-11D3-BF4B-00C04F79EFBC},,VsTemplate,,,2.0,,Program,/rootsuffix Exp,$(DevEnvDir)devenv.exe,,,v4.6.1,,,,,$(MSBuildExtensionsPath32)\Microsoft\VisualStudio\v$(VisualStudioVersion),4,